State_TW,State_EN,Gender,總 計 Total,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
無國籍,(STATELESS),Male,46,16,10,5,4,7,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
無國籍,(STATELESS),Female,54,3,4,5,5,8,1,7,1,0,4,1,9,0,2,2,0,0,1,1,0,0,0
阿富汗,(AFGHANISTAN),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿富汗,(AFGHANISTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不丹,(BHUTAN),Male,11,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
不丹,(BHUTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汶萊,(BRUNEI DARUSSALAM),Male,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汶萊,(BRUNEI DARUSSALAM),Female,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
緬甸,(MYANMAR),Male,483,170,56,31,25,35,73,2,5,2,9,7,1,3,3,1,5,0,6,23,0,18,8
緬甸,(MYANMAR),Female,830,374,144,77,42,30,35,5,19,9,24,8,2,11,8,3,6,0,9,22,1,0,1
柬埔寨,(CAMBODIA),Male,13,1,4,2,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
柬埔寨,(CAMBODIA),Female,67,12,4,8,10,2,5,1,2,0,3,5,3,2,1,0,4,1,4,0,0,0,0
斯里蘭卡,(SRI LANKA),Male,37,7,8,10,2,1,5,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
斯里蘭卡,(SRI LANKA),Female,12,1,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印度,(INDIA),Male,"2,114",254,765,141,136,94,98,4,32,11,16,13,2,74,5,8,37,0,18,402,4,0,0
印度,(INDIA),Female,852,130,327,58,31,30,34,5,9,6,2,7,0,6,1,0,20,0,9,176,1,0,0
印尼,(INDONESIA),Male,"57,636","6,559",882,"9,849","9,100","5,327","5,919","1,630",981,"1,793","6,842","1,108","1,513","1,090","2,052",159,287,"1,297",544,475,145,52,32
印尼,(INDONESIA),Female,"174,614","29,010","28,906","15,853","18,492","11,596","14,442","4,343","4,639","5,317","8,811","3,999","5,704","4,313","4,797","1,379","2,743",813,"2,812","4,050","1,855",644,96
伊朗,(IRAN),Male,72,14,16,9,5,9,4,0,0,0,3,1,1,3,0,0,0,0,0,7,0,0,0
伊朗,(IRAN),Female,27,4,4,3,0,4,4,0,0,1,0,0,1,1,0,0,1,0,0,4,0,0,0
伊拉克,(IRAQ),Male,17,2,8,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
伊拉克,(IRAQ),Female,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
以色列,(ISRAEL),Male,73,13,43,0,6,3,0,0,1,0,1,1,0,0,0,1,0,0,0,3,1,0,0
以色列,(ISRAEL),Female,30,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
日本,(JAPAN),Male,"7,974",712,"3,882",484,782,355,705,37,128,24,58,34,96,14,40,19,38,3,40,503,19,1,0
日本,(JAPAN),Female,"5,557",686,"2,910",260,505,159,452,18,66,19,54,10,56,20,28,8,20,3,20,249,12,2,0
約旦,(JORDAN),Male,71,8,22,21,2,5,3,0,2,0,0,0,0,1,0,0,0,0,0,7,0,0,0
約旦,(JORDAN),Female,32,1,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
韓國,(KOREA),Male,"1,946",318,768,101,209,69,156,7,88,12,20,7,14,6,4,7,12,0,16,126,6,0,0
