State_TW,State_EN,Gender,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
無國籍,Stateless,Male,9,18,5,5,6,4,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0
無國籍,Stateless,Female,8,7,4,4,2,1,0,0,0,1,1,2,0,1,1,1,0,1,0,0,0,0
阿富汗,(AFGHANISTAN),Male,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿富汗,(AFGHANISTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不丹,(BHUTAN),Male,1,3,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
不丹,(BHUTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
汶萊,(BRUNEI DARUSSALAM),Male,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汶萊,(BRUNEI DARUSSALAM),Female,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
緬甸,(MYANMAR),Male,349,109,47,24,19,88,7,13,1,7,14,3,2,4,1,5,1,20,22,1,14,5
緬甸,(MYANMAR),Female,644,238,80,55,38,89,6,36,4,11,32,6,16,10,1,3,0,11,26,1,1,1
柬埔寨,(CAMBODIA),Male,11,2,11,23,12,25,1,2,0,0,0,0,45,0,0,2,0,0,2,0,0,0
柬埔寨,(CAMBODIA),Female,27,6,13,27,17,16,3,4,2,5,1,1,26,3,0,5,1,4,1,1,0,0
斯里蘭卡,(SRI LANKA),Male,8,7,11,5,19,15,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0
斯里蘭卡,(SRI LANKA),Female,1,2,2,4,7,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
賽普勒斯,(CYPRUS),Male,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
賽普勒斯,(CYPRUS),Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印度,(INDIA),Male,442,859,221,295,194,150,13,88,20,22,18,33,40,15,7,44,0,19,538,5,0,0
印度,(INDIA),Female,229,402,97,118,66,97,3,29,4,4,3,6,17,8,1,29,0,10,245,1,0,0
印尼,(INDONESIA),Male,"6,798","1,416","11,079","10,578","5,829","7,156","1,311","1,129","1,632","7,553","1,097","1,671","1,523","2,120",153,333,999,682,691,130,106,43
